,neuron ID,t,yvals,fname_root,turn label,tracestate,deriv
1424,SMDV,4,2.636231753584979,20220308-09-52-31,ventral,4.0,5.501904239684493
1425,SMDV,5,2.853610607405121,20220308-09-52-31,ventral,4.0,0.32852486026834615
1426,SMDV,6,2.8918942869057545,20220308-09-52-31,ventral,4.0,-18.464289373438614
1427,SMDV,7,2.782491400301472,20220308-09-52-31,ventral,4.0,-54.92252015418516
1428,SMDV,8,2.7678158535953137,20220308-09-52-31,ventral,1.0,-67.75352530499384
1429,SMDV,9,2.710807898529087,20220308-09-52-31,ventral,1.0,-87.69813761435807
1430,SMDV,10,2.609759742351047,20220308-09-52-31,ventral,1.0,-104.0145894277511
1431,SMDV,11,2.5444453062385275,20220308-09-52-31,ventral,2.0,-111.85682216212334
1432,SMDV,12,2.4691244239631334,20220308-09-52-31,ventral,2.0,-135.5612582672288
1433,SMDV,13,2.244416796267497,20220308-09-52-31,ventral,2.0,-135.58246817126016
1434,SMDV,14,2.029404447208832,20220308-09-52-31,ventral,2.0,-136.8546681828706
1435,SMDV,15,1.847239623354128,20220308-09-52-31,ventral,2.0,-136.80513795519434
1436,SMDV,16,1.6264040997892877,20220308-09-52-31,ventral,2.0,-97.80916063460417
1437,SMDV,17,1.619438740588638,20220308-09-52-31,ventral,3.0,-79.96708950382315
1438,SMDV,18,1.4797154700105914,20220308-09-52-31,ventral,3.0,-65.91840762665383
1439,SMDV,19,1.6018588478280764,20220308-09-52-31,ventral,3.0,-25.103476362914076
1440,OLQV,0,0.3874960799247344,20220308-09-52-31,ventral,4.0,-3.906024318954086
1441,OLQV,-1,0.3498800275936535,20220308-09-52-31,ventral,3.0,-1.9019211109104681
1442,OLQV,-2,0.3302565328472605,20220308-09-52-31,ventral,3.0,-1.6455896152452665
1443,OLQV,-3,0.3197590722035167,20220308-09-52-31,ventral,3.0,-1.1468950077709001
1444,OLQV,-4,0.3909781145545016,20220308-09-52-31,ventral,3.0,-2.562159729111579
1445,OLQV,-5,0.3119874385827837,20220308-09-52-31,ventral,3.0,12.498089283387486
1446,OLQV,-6,0.3790672352781055,20220308-09-52-31,ventral,3.0,-1.9172230991532164
1447,OLQV,-7,0.3833058775522542,20220308-09-52-31,ventral,3.0,-1.9191403661656645
1448,OLQV,-8,0.3310211426000898,20220308-09-52-31,ventral,3.0,8.367609530650055
1449,OLQV,-9,0.3015673418062603,20220308-09-52-31,ventral,3.0,11.11341315139521
1450,OLQV,-10,0.281187691575157,20220308-09-52-31,ventral,3.0,10.008213236411885
1451,OLQV,-11,0.2667069212770774,20220308-09-52-31,ventral,3.0,9.708603612968185
1452,OLQV,-12,0.2785243142428238,20220308-09-52-31,ventral,3.0,7.627475052212534
